medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,eth5
"1968151000006117","976831000000100","2485031000000111","9t0A","9t0A.00","Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census","1. South Asian"
"1968161000006115","976851000000107","2485071000000113","9t0B","9t0B.00","Asian or Asian British: Chinese - England and Wales ethnic category 2011 census","3. Other"
"1968171000006110","976871000000103","2485111000000119","9t0C","9t0C.00","Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census","1. South Asian"
"1968181000006113","976891000000104","2485151000000115","9t0D","9t0D.00","Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census","2. Black"
"1968191000006111","976911000000101","2485191000000111","9t0E","9t0E.00","Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census","2. Black"
"1968211000006112","976951000000102","2485271000000117","9t0G","9t0G.00","Other ethnic group: Arab - England and Wales ethnic category 2011 census","3. Other"
"1968221000006116","976971000000106","2485311000000117","9t0H","9t0H.00","Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census","3. Other"
"2486161000000112","977351000000100","2486161000000112","9t10","9t10.00","White - Northern Ireland ethnic category 2011 census","0. White"
"1968251000006113","977371000000109","2486201000000116","9t11","9t11.00","Irish Traveller - Northern Ireland ethnic category 2011 census","0. White"
"1968261000006110","977391000000108","2486241000000118","9t12","9t12.00","Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census","4. Mixed"
"1968271000006115","977411000000108","2486281000000114","9t13","9t13.00","Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census","4. Mixed"
"1968281000006117","977431000000100","2486321000000118","9t14","9t14.00","Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census","4. Mixed"
"1968291000006119","977551000000106","2486561000000119","9t15","9t15.00","Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census","4. Mixed"
"1968301000006118","977591000000103","2486641000000116","9t16","9t16.00","Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census","1. South Asian"
"1968311000006115","977711000000100","2486881000000113","9t17","9t17.00","Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census","1. South Asian"
"1968321000006111","977731000000108","2486921000000119","9t18","9t18.00","Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census","1. South Asian"
"1968331000006114","977751000000101","2486961000000110","9t19","9t19.00","Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census","3. Other"
"1968341000006116","977771000000105","2487001000000110","9t1A","9t1A.00","Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census","1. South Asian"
"1968351000006119","977791000000109","2487041000000113","9t1B","9t1B.00","Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census","2. Black"
"1968361000006117","977811000000105","2487081000000117","9t1C","9t1C.00","Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census","2. Black"
"1968381000006110","977851000000109","2487161000000110","9t1E","9t1E.00","Other ethnic group: Arab - Northern Ireland ethnic category 2011 census","3. Other"
"1968391000006113","977871000000100","2487201000000119","9t1F","9t1F.00","Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census","3. Other"
"2487281000000112","977911000000103","2487281000000112","9t20","9t20.00","White: Scottish - Scotland ethnic category 2011 census","0. White"
"2487321000000116","977931000000106","2487321000000116","9t21","9t21.00","White: other British - Scotland ethnic category 2011 census","0. White"
"2487361000000112","977951000000104","2487361000000112","9t22","9t22.00","White: Irish - Scotland ethnic category 2011 census","0. White"
"1968441000006112","977971000000108","2487401000000115","9t23","9t23.00","White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census","0. White"
"2487481000000113","978011000000101","2487481000000113","9t24","9t24.00","White: Polish - Scotland ethnic category 2011 census","0. White"
"1968461000006111","978031000000109","2487521000000113","9t25","9t25.00","White: any other White ethnic group - Scotland ethnic category 2011 census","0. White"
"1968471000006116","978051000000102","2487561000000117","9t26","9t26.00","Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census","4. Mixed"
"1968481000006118","978071000000106","2487601000000117","9t27","9t27.00","Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census","1. South Asian"
"1968491000006115","978111000000100","2487681000000110","9t28","9t28.00","Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census","1. South Asian"
"1968501000006111","978171000000105","2487801000000118","9t29","9t29.00","Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census","1. South Asian"
"1968511000006114","978191000000109","2487851000000117","9t2A","9t2A.00","Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census","3. Other"
"1968521000006118","978211000000108","2487891000000113","9t2B","9t2B.00","Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census","1. South Asian"
"1968531000006115","978231000000100","2487931000000115","9t2C","9t2C.00","African: African, African Scottish or African British - Scotland ethnic category 2011 census","2. Black"
"1968541000006113","978251000000107","2487971000000118","9t2D","9t2D.00","African: any other African - Scotland ethnic category 2011 census","2. Black"
"1968551000006110","978271000000103","2488011000000113","9t2E","9t2E.00","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census","2. Black"
"1968571000006117","978361000000101","2488221000000112","9t2G","9t2G.00","Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census","2. Black"
"1968581000006119","978381000000105","2488261000000116","9t2H","9t2H.00","Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census","3. Other"
"1968591000006116","978401000000105","2488301000000114","9t2J","9t2J.00","Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census","3. Other"
